SAVE_PATH,TARGET_LENGTH,BVH_DIR
240703-1135-res-andreas-poustsenko,600,bvh_600
240703-1135-res-andreas-poustsenko,1200,bvh_1200
240703-1135-res-andreas-poustsenko,2400,bvh_2400
240703-1135-res-andreas-poustsenko,4800,bvh_4800
240703-1135-res-stefanos-theodorou-1os-antikristos-katrsilamas,600,bvh_600
240703-1135-res-stefanos-theodorou-1os-antikristos-katrsilamas,1200,bvh_1200
240703-1135-res-stefanos-theodorou-1os-antikristos-katrsilamas,2400,bvh_2400
240703-1135-res-stefanos-theodorou-1os-antikristos-katrsilamas,4800,bvh_4800
240703-1145-res-clio-podaraki,600,bvh_600
240703-1145-res-clio-podaraki,1200,bvh_1200
240703-1145-res-clio-podaraki,2400,bvh_2400
240703-1145-res-clio-podaraki,4800,bvh_4800
240702-1446-results-clio-rasopoulos,600,bvh_600
240702-1446-results-clio-rasopoulos,1200,bvh_1200
240702-1446-results-clio-rasopoulos,2400,bvh_2400
240702-1446-results-clio-rasopoulos,4800,bvh_4800

